OnlineRetailer,SalesMonth,Title,Vintage,Variety,Score,ListPrice,Quantity
Arancione,2022-08,Brovia 2013 Brea Vigna Cà Mia  (Barolo),2013,Nebbiolo,97,96.0,20
Arancione,2022-08,Bel Colle 2012 Simposio  (Barolo),2012,Nebbiolo,95,60.0,15
Arancione,2022-08,Podere L'Aione 2004 Salve Sangiovese (Toscana),2004,Sangiovese,95,54.0,21
Arancione,2022-08,Tenuta dell'Ornellaia 2008 Ornellaia  (Bolgheri Superiore),2008,Red Blend,97,215.0,24
Arancione,2022-08,Le Potazzine 2012  Brunello di Montalcino,2012,Sangiovese,96,85.0,20
Arancione,2022-08,Biondi Santi 2001 Riserva  (Brunello di Montalcino),2001,Sangiovese,96,400.0,15
Arancione,2022-08,Rizzi 2009 Boito Riserva  (Barbaresco),2009,Nebbiolo,95,59.0,24
Arancione,2022-08,Castello dei Rampolla 2012 d'Alceo Red (Toscana),2012,Red Blend,95,242.0,16
Arancione,2022-08,Elvio Cogno 2013 Ravera  (Barolo),2013,Nebbiolo,97,82.0,20
Arancione,2022-08,Cantina Bartolo Mascarello 2005  Barolo,2005,Nebbiolo,95,119.0,22
Arancione,2022-08,Tenuta di Biserno 2008 Lodovico Red (Toscana),2008,Red Blend,96,280.0,23
Arancione,2022-08,Rivetto 2010 Briccolina Riserva  (Barolo),2010,Nebbiolo,96,210.0,15
Arancione,2022-08,Felsina 2010 Fontalloro Sangiovese (Toscana),2010,Sangiovese,95,62.0,20
Arancione,2022-08,San Felice 2013 Il Grigio Gran Selezione  (Chianti Classico),2013,Red Blend,95,55.0,21
Arancione,2022-08,Eugenio Bocchino 2007 La Serra  (Barolo),2007,Nebbiolo,95,119.0,24
Arancione,2022-08,Gaja 2013  Barbaresco,2013,Nebbiolo,96,200.0,18
Arancione,2022-08,Benanti 2010 Pietramarina Bianco Superiore  (Etna),2010,Carricante,95,45.0,23
Arancione,2022-08,Isole e Olena 2010 Cepparello Sangiovese (Toscana),2010,Sangiovese,96,80.0,15
Arancione,2022-08,Marchesi Antinori 2010 Solaia Red (Toscana),2010,Red Blend,97,325.0,22
Arancione,2022-08,Le Macchiole 2012 Paleo Rosso Cabernet Franc (Toscana),2012,Cabernet Franc,95,110.0,19
Arancione,2022-08,Pio Cesare 2013  Barolo,2013,Nebbiolo,95,77.0,24
Arancione,2022-08,Castello dei Rampolla 2011 D'Alceo Red (Toscana),2011,Red Blend,95,260.0,23
Arancione,2022-08,Vallana 2006  Gattinara,2006,Nebbiolo,95,32.0,21
Arancione,2022-08,Marchesi Antinori 2010 Tignanello Red (Toscana),2010,Red Blend,95,105.0,21
Arancione,2022-08,Fattoria Petrolo 2004 Galatrona Merlot (Toscana),2004,Merlot,97,100.0,23
Arancione,2022-08,Oddero 2010 Brunate  (Barolo),2010,Nebbiolo,95,123.0,19
Arancione,2022-08,Cantina Produttori San Michele Appiano 2015 Sanct Valentin Sauvignon (Alto Adige),2015,Sauvignon,95,40.0,19
Arancione,2022-08,Passopisciaro 2013 Contrada R Nerello Mascalese (Terre Siciliane),2013,Nerello Mascalese,97,60.0,18
Arancione,2022-08,Castello Banfi 2007 Excelsus Red (Toscana),2007,Red Blend,97,81.0,19
Arancione,2022-08,Le Macchiole 2006 Paleo Cabernet Franc (Toscana),2006,Cabernet Franc,96,125.0,16
Arancione,2022-08,Paolo Scavino 2013 Monvigliero  (Barolo),2013,Nebbiolo,95,69.0,24
