OnlineRetailer,SalesMonth,Title,Vintage,Variety,Score,ListPrice,Quantity
Arancione,2022-06,Tenuta Argentiera 2007 Argentiera  (Bolgheri Superiore),2007,Red Blend,95,60.0,14
Arancione,2022-06,Biondi 2014 Contrada Monte San Nicolò  (Etna),2014,Red Blend,95,30.0,14
Arancione,2022-06,San Giusto a Rentennano 2004 Percarlo Sangiovese (Toscana),2004,Sangiovese,95,70.0,18
Arancione,2022-06,Tenuta dell'Ornellaia 2004 Ornellaia  (Bolgheri Superiore),2004,Red Blend,98,175.0,15
Arancione,2022-06,Monteraponi 2010 Baron' Ugo Riserva  (Chianti Classico),2010,Red Blend,96,63.0,12
Arancione,2022-06,Le Chiuse 2011  Brunello di Montalcino,2011,Sangiovese,95,59.0,13
Arancione,2022-06,Fattoria Petrolo 2006 Galatrona Merlot (Toscana),2006,Merlot,95,120.0,15
Arancione,2022-06,Moccagatta 2007 Basarin  (Barbaresco),2007,Nebbiolo,95,119.0,11
Arancione,2022-06,Le Macchiole 2006 Paleo Cabernet Franc (Toscana),2006,Cabernet Franc,96,125.0,13
Arancione,2022-06,Brovia 2013 Rocche di Castiglione  (Barolo),2013,Nebbiolo,97,96.0,15
Arancione,2022-06,Biondi Santi 2011 Riserva  (Brunello di Montalcino),2011,Sangiovese,96,540.0,13
Arancione,2022-06,Mascarello Giuseppe e Figlio 2012 Perno  (Barolo),2012,Nebbiolo,95,113.0,14
Arancione,2022-06,Rizzi 2011 Pajorè  (Barbaresco),2011,Nebbiolo,95,59.0,18
Arancione,2022-06,Arnaldo Caprai 2010 25 Anni  (Montefalco Sagrantino),2010,Sagrantino,95,100.0,12
Arancione,2022-06,Germano Ettore 2013 Cerretta  (Barolo),2013,Nebbiolo,95,75.0,14
Arancione,2022-06,Mascarello Giuseppe e Figlio 2012 Monprivato  (Barolo),2012,Nebbiolo,95,163.0,10
Arancione,2022-06,Mirafiore 2007 Riserva  (Barolo),2007,Nebbiolo,95,135.0,17
Arancione,2022-06,Cavallotto 2011 Bricco Boschis Vigna San Giuseppe Riserva  (Barolo),2011,Nebbiolo,96,119.0,17
Arancione,2022-06,Tenuta dell'Ornellaia 2005 Masseto Merlot (Toscana),2005,Merlot,95,460.0,11
Arancione,2022-06,Antinori 1999 Guado Al Tasso  (Bolgheri),1999,Red Blend,95,80.0,11
Arancione,2022-06,Cordero di Montezemolo 2007 Bricco Gattera  (Barolo),2007,Nebbiolo,96,80.0,17
Arancione,2022-06,Cavallotto 2012 Bricco Boschis  (Barolo),2012,Nebbiolo,95,78.0,19
Arancione,2022-06,Giacomo Fenocchio 2013 Castellero  (Barolo),2013,Nebbiolo,95,55.0,18
Arancione,2022-06,Giuseppe Rinaldi 2012 Brunate  (Barolo),2012,Nebbiolo,96,146.0,11
Arancione,2022-06,Gaja 2006 Conteisa Nebbiolo (Langhe),2006,Nebbiolo,97,215.0,12
Arancione,2022-06,Luciano Sandrone 2007 Cannubi Boschis  (Barolo),2007,Nebbiolo,96,165.0,16
Arancione,2022-06,Paolo Scavino 2013 Monvigliero  (Barolo),2013,Nebbiolo,95,69.0,10
Arancione,2022-06,Aurelio Settimo 2010 Rocche dell'Annunziata  (Barolo),2010,Nebbiolo,95,65.0,13
Arancione,2022-06,Mocali 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,95,85.0,15
Arancione,2022-06,Marchesi Antinori 2004 Tignanello Red (Toscana),2004,Red Blend,95,79.0,13
Arancione,2022-06,Germano Ettore 2013 Prapò  (Barolo),2013,Nebbiolo,97,75.0,18
Arancione,2022-06,Cafaggio 2010 Basilica Solatìo Riserva  (Chianti Classico),2010,Sangiovese,95,40.0,13
Arancione,2022-06,Arnaldo Caprai 2007 25 Anni  (Sagrantino di Montefalco),2007,Sagrantino,95,100.0,15
Arancione,2022-06,Marchesi Antinori 2010 Tignanello Red (Toscana),2010,Red Blend,95,105.0,18
Arancione,2022-06,Casanova di Neri 2006 Tenuta Nuova  (Brunello di Montalcino),2006,Sangiovese Grosso,97,80.0,13
Arancione,2022-06,Castello Banfi 2006 Poggio all'Oro Riserva  (Brunello di Montalcino),2006,Sangiovese Grosso,95,150.0,15
Arancione,2022-06,Giuseppe Cortese 2006 Rabajà Riserva  (Barbaresco),2006,Nebbiolo,95,110.0,13
Arancione,2022-06,Ceretto 2005 Bricco Rocche Bricco Rocche  (Barolo),2005,Nebbiolo,95,252.0,17
Arancione,2022-06,Le Ragnaie 2012 VV  (Brunello di Montalcino),2012,Sangiovese,95,125.0,17
Arancione,2022-06,Vietti 2006 Rocche  (Barolo),2006,Nebbiolo,95,130.0,13
Arancione,2022-06,Monteverro 2008 Red (Toscana),2008,Red Blend,95,175.0,18
Arancione,2022-06,Feudi di San Gregorio 2012 Patrimo Merlot (Campania),2012,Merlot,96,105.0,19
Arancione,2022-06,Paolo Scavino 2009 Cannubi  (Barolo),2009,Nebbiolo,96,118.0,12
Arancione,2022-06,Contucci 2010 Mulinvecchio  (Vino Nobile di Montepulciano),2010,Red Blend,95,50.0,18
Arancione,2022-06,Il Marroneto 2012 Madonna delle Grazie  (Brunello di Montalcino),2012,Sangiovese,99,200.0,12
Arancione,2022-06,Castello di Ama 2006 L'Apparita Merlot (Toscana),2006,Merlot,96,169.0,19
Arancione,2022-06,Cantina Bartolo Mascarello 2012  Barolo,2012,Nebbiolo,95,145.0,16
Arancione,2022-06,Poderi Aldo Conterno 2010 Bussia  (Barolo),2010,Nebbiolo,95,80.0,18
Arancione,2022-06,Conti Costanti 2011  Brunello di Montalcino,2011,Sangiovese,95,74.0,13
Arancione,2022-06,Podere Rocche dei Manzoni 2006 Vigna Cappella di Santo Stefano  (Barolo),2006,Nebbiolo,95,119.0,17
Arancione,2022-06,Travaglini 2010 Riserva  (Gattinara),2010,Nebbiolo,95,60.0,13
Arancione,2022-06,Petra 1998 Riserva Cabernet Sauvignon-Merlot (Toscana),1998,Cabernet Sauvignon-Merlot,95,50.0,15
Arancione,2022-06,Produttori del Barbaresco 2011 Rabajà Riserva  (Barbaresco),2011,Nebbiolo,97,58.0,16
Arancione,2022-06,Gaja 2006 Sperss Nebbiolo (Langhe),2006,Nebbiolo,98,255.0,18
Arancione,2022-06,Brovia 2013 Villero  (Barolo),2013,Nebbiolo,96,96.0,10
Arancione,2022-06,Guido Porro 2011 Vigna S. Caterina  (Barolo),2011,Nebbiolo,95,47.0,14
Arancione,2022-06,Poggio al Tesoro 2005 Dedicato a Walter Cabernet Franc (Toscana),2005,Cabernet Franc,95,80.0,15
Arancione,2022-06,Gaja 2009 Sorì San Lorenzo Nebbiolo (Langhe),2009,Nebbiolo,96,495.0,10
Arancione,2022-06,Siro Pacenti 2006 Riserva  (Brunello di Montalcino),2006,Sangiovese Grosso,95,120.0,12
Arancione,2022-06,Rivetto 2010 Briccolina Riserva  (Barolo),2010,Nebbiolo,96,210.0,19
Arancione,2022-06,Elvio Cogno 2013 Ravera  (Barolo),2013,Nebbiolo,97,82.0,10
Arancione,2022-06,Bibi Graetz 2004 Testamatta Sangiovese (Toscana),2004,Sangiovese,96,98.0,18
Arancione,2022-06,Biondi Santi 2008  Brunello di Montalcino,2008,Sangiovese,95,200.0,17
Arancione,2022-06,Elvio Cogno 2013 Ravera  (Barolo),2013,Nebbiolo,97,82.0,14
Arancione,2022-06,Azelia 2006 San Rocco  (Barolo),2006,Nebbiolo,95,119.0,11
Arancione,2022-06,Renato Ratti 2013 Marcenasco  (Barolo),2013,Nebbiolo,95,50.0,13
Arancione,2022-06,Milziade Antano 2009 Colleallodole  (Sagrantino di Montefalco),2009,Sagrantino,95,70.0,16
Arancione,2022-06,San Felice 2011 Il Grigio Gran Selezione  (Chianti Classico),2011,Red Blend,95,44.0,12
Arancione,2022-06,Marchesi Antinori 2012 Tignanello Red (Toscana),2012,Red Blend,95,105.0,17
Arancione,2022-06,Giovanni Rosso 2011 Cerretta  (Barolo),2011,Nebbiolo,95,95.0,18
Arancione,2022-06,Tenuta dell'Ornellaia 2005 Masseto Merlot (Toscana),2005,Merlot,95,460.0,19
Arancione,2022-06,Milziade Antano 2010 Colleallodole  (Montefalco Sagrantino),2010,Sagrantino,96,80.0,14
Arancione,2022-06,Comm. G. B. Burlotto 2013 Monvigliero  (Barolo),2013,Nebbiolo,98,70.0,11
Arancione,2022-06,Il Poggione 2007 Vigna Paganelli Riserva  (Brunello di Montalcino),2007,Sangiovese Grosso,95,115.0,18
Arancione,2022-06,Michele Chiarlo 2006 Cerequio Riserva  (Barolo),2006,Nebbiolo,95,103.0,13
Arancione,2022-06,Vallana 2006  Gattinara,2006,Nebbiolo,95,32.0,12
Arancione,2022-06,Biondi 2014 Outis Rosso  (Etna),2014,Red Blend,95,40.0,10
Arancione,2022-06,Cavallotto 2011 Vignolo Riserva  (Barolo),2011,Nebbiolo,95,119.0,15
Arancione,2022-06,Le Macchiole 2004 Paleo Cabernet Franc (Toscana),2004,Cabernet Franc,96,105.0,16
Arancione,2022-06,Poggio di Sotto 2010  Brunello di Montalcino,2010,Sangiovese,97,290.0,13
Arancione,2022-06,Verbena 2006 Riserva  (Brunello di Montalcino),2006,Sangiovese Grosso,95,75.0,16
Arancione,2022-06,Produttori del Barbaresco 2009 Ovello Riserva  (Barbaresco),2009,Nebbiolo,95,65.0,13
