OnlineRetailer,SalesMonth,Title,Vintage,Variety,Score,ListPrice,Quantity
Arancione,2022-02,Conti Costanti 2012  Brunello di Montalcino,2012,Sangiovese,98,95.0,6
Arancione,2022-02,Michele Satta 2008 Cavaliere Sangiovese (Toscana),2008,Sangiovese,95,75.0,10
Arancione,2022-02,Mirafiore 2007 Riserva  (Barolo),2007,Nebbiolo,95,135.0,4
Arancione,2022-02,Il Marroneto 2012  Brunello di Montalcino,2012,Sangiovese,95,80.0,1
Arancione,2022-02,Tenuta dell'Ornellaia 2004 Ornellaia  (Bolgheri Superiore),2004,Red Blend,98,175.0,12
Arancione,2022-02,Tenimenti Angelini 2007 Val di Suga  (Brunello di Montalcino),2007,Sangiovese Grosso,95,61.0,8
Arancione,2022-02,Amantis 2007 Riserva  (Montecucco),2007,Sangiovese,95,75.0,2
Arancione,2022-02,Bibi Graetz 2004 Testamatta Sangiovese (Toscana),2004,Sangiovese,96,98.0,6
Arancione,2022-02,Biondi Santi 2008  Brunello di Montalcino,2008,Sangiovese,95,200.0,11
Arancione,2022-02,Comm. G. B. Burlotto 2013 Acclivi  (Barolo),2013,Nebbiolo,96,60.0,13
Arancione,2022-02,Monteraponi 2010 Baron' Ugo Riserva  (Chianti Classico),2010,Red Blend,96,63.0,3
Arancione,2022-02,Principe Corsini Fattoria Le Corti 1997 Sant'Andrea Corsini  (Vin Santo del Chianti Classico),1997,White Blend,97,119.0,1
Arancione,2022-02,Paolo Scavino 2011 Rocche dell'Annunziata Riserva  (Barolo),2011,Nebbiolo,96,190.0,12
Arancione,2022-02,Massolino 2013 Parafada  (Barolo),2013,Nebbiolo,97,97.0,16
Arancione,2022-02,Albino Rocca 2014 Angelo  (Barbaresco),2014,Nebbiolo,96,98.0,15
Arancione,2022-02,Marchesi Antinori 2009 Tignanello Red (Toscana),2009,Red Blend,95,105.0,3
Arancione,2022-02,Contrade di Taurasi - Lonardo 2010  Taurasi,2010,Aglianico,95,50.0,3
Arancione,2022-02,Marchesi de' Frescobaldi 2003 Castello di Pomino Vendemmia Tardiva White (Tuscany),2003,White Blend,95,119.0,5
Arancione,2022-02,Le Piane 2009  Boca,2009,Red Blend,95,55.0,6
Arancione,2022-02,Tua Rita 2005 Giusto di Notri Red (Toscana),2005,Red Blend,95,100.0,11
Arancione,2022-02,Castello Banfi 2007 Poggio all'Oro Riserva  (Brunello di Montalcino),2007,Sangiovese Grosso,95,150.0,6
Arancione,2022-02,San Felice 2013 Il Grigio Gran Selezione  (Chianti Classico),2013,Red Blend,95,55.0,8
Arancione,2022-02,Cavallotto 2010 Vignolo Riserva  (Barolo),2010,Nebbiolo,97,150.0,5
Arancione,2022-02,Le Potazzine 2011  Brunello di Montalcino,2011,Sangiovese,97,70.0,5
Arancione,2022-02,Sandrone 2011 Cannubi Boschis  (Barolo),2011,Nebbiolo,96,165.0,7
Arancione,2022-02,Vietti 2006 Rocche  (Barolo),2006,Nebbiolo,95,130.0,3
Arancione,2022-02,Cavallotto 2013 Bricco Boschis  (Barolo),2013,Nebbiolo,96,90.0,15
Arancione,2022-02,Passopisciaro 2013 Contrada R Nerello Mascalese (Terre Siciliane),2013,Nerello Mascalese,97,60.0,5
Arancione,2022-02,Giuseppe Cortese 2006 Rabajà Riserva  (Barbaresco),2006,Nebbiolo,95,110.0,19
Arancione,2022-02,Pio Cesare 2007  Barolo,2007,Nebbiolo,95,65.0,16
Arancione,2022-02,Isole e Olena 2010 Cepparello Sangiovese (Toscana),2010,Sangiovese,96,80.0,11
Arancione,2022-02,Arnaldo Caprai 2007 25 Anni  (Sagrantino di Montefalco),2007,Sagrantino,95,100.0,3
Arancione,2022-02,Aldo Conterno 2013 Bussia Colonnello  (Barolo),2013,Nebbiolo,95,150.0,4
Arancione,2022-02,Germano Ettore 2013 Prapò  (Barolo),2013,Nebbiolo,97,75.0,15
Arancione,2022-02,Castello Banfi 2007 Excelsus Red (Toscana),2007,Red Blend,97,81.0,4
Arancione,2022-02,Bel Colle 2012 Simposio  (Barolo),2012,Nebbiolo,95,60.0,5
Arancione,2022-02,Terlan 2004 Rarità 2004 Pinot Bianco (Alto Adige),2004,Pinot Bianco,95,165.0,17
Arancione,2022-02,Sesta di Sopra 2006  Brunello di Montalcino,2006,Sangiovese Grosso,95,60.0,10
Arancione,2022-02,Massolino 2013 Parussi  (Barolo),2013,Nebbiolo,96,97.0,0
Arancione,2022-02,Gaja 2007 Sorì Tildìn Nebbiolo (Langhe),2007,Nebbiolo,99,440.0,7
Arancione,2022-02,Ciacci Piccolomini d'Aragona 2010 Vigna di Pianrosso Santa Caterina d'Oro Riserva  (Brunello di Montalcino),2010,Sangiovese,97,140.0,1
Arancione,2022-02,Tenuta dell'Ornellaia 2005 Masseto Merlot (Toscana),2005,Merlot,95,460.0,4
Arancione,2022-02,Michele Chiarlo 2013 Cerequio  (Barolo),2013,Nebbiolo,95,115.0,13
Arancione,2022-02,Tenuta Sette Ponti 2005 Oreno Red (Toscana),2005,Red Blend,95,93.0,10
Arancione,2022-02,Biondi Santi 2012  Brunello di Montalcino,2012,Sangiovese,96,199.0,9
Arancione,2022-02,Marchesi Antinori 2012 Tignanello Red (Toscana),2012,Red Blend,95,105.0,17
Arancione,2022-02,Germano Ettore 2013 Cerretta  (Barolo),2013,Nebbiolo,95,75.0,8
Arancione,2022-02,Gaja 2009 Costa Russi Nebbiolo (Langhe),2009,Nebbiolo,95,495.0,6
Arancione,2022-02,Giacomo Fenocchio 2013 Castellero  (Barolo),2013,Nebbiolo,95,55.0,5
Arancione,2022-02,Manzone 2013 Fraschin Bricco San Pietro  (Barolo),2013,Nebbiolo,95,48.0,3
Arancione,2022-02,Siro Pacenti 2006 Riserva  (Brunello di Montalcino),2006,Sangiovese Grosso,95,120.0,17
Arancione,2022-02,Guido Porro 2011 Lazzairasco  (Barolo),2011,Nebbiolo,95,46.0,7
Arancione,2022-02,Aia Vecchia 2008 Sorugo  (Bolgheri Superiore),2008,Red Blend,95,40.0,1
Arancione,2022-02,Sordo 2010 Monvigliero  (Barolo),2010,Nebbiolo,95,65.0,16
Arancione,2022-02,Conti Costanti 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,98,190.0,12
Arancione,2022-02,Tenuta San Guido 2008 Sassicaia  (Bolgheri Sassicaia),2008,Red Blend,97,220.0,12
Arancione,2022-02,Produttori del Barbaresco 2011 Rabajà Riserva  (Barbaresco),2011,Nebbiolo,97,58.0,8
Arancione,2022-02,Tenuta dell'Ornellaia 2007 Masseto Merlot (Toscana),2007,Merlot,100,460.0,0
Arancione,2022-02,Monteverro 2008 Red (Toscana),2008,Red Blend,95,175.0,2
Arancione,2022-02,Luciano Sandrone 2007 Cannubi Boschis  (Barolo),2007,Nebbiolo,96,165.0,0
Arancione,2022-02,Fattoria Le Pupille 2004 Saffredi  (Maremma),2004,Red Blend,95,140.0,4
Arancione,2022-02,Abbazia di Novacella 2015 Praepositus Kerner (Alto Adige),2015,Kerner,95,25.0,12
Arancione,2022-02,Massolino 2011 Parafada  (Barolo),2011,Nebbiolo,95,99.0,3
Arancione,2022-02,Le Macchiole 2012 Paleo Rosso Cabernet Franc (Toscana),2012,Cabernet Franc,95,110.0,1
Arancione,2022-02,Felsina 2010 Colonia Gran Selezione  (Chianti Classico),2010,Sangiovese,95,115.0,14
Arancione,2022-02,Luigi Oddero & Figli 2008 Vigna Rionda  (Barolo),2008,Nebbiolo,96,131.0,6
Arancione,2022-02,Paolo Scavino 2013 Cannubi  (Barolo),2013,Nebbiolo,95,90.0,10
Arancione,2022-02,Rizzi 2009 Boito Riserva  (Barbaresco),2009,Nebbiolo,95,59.0,2
Arancione,2022-02,Bucci 2013 Villa Bucci Riserva  (Verdicchio dei Castelli di Jesi Classico Superiore),2013,Verdicchio,95,57.0,7
Arancione,2022-02,Poggio al Tesoro 2006 Dedicato a Walter Cabernet Franc (Toscana),2006,Cabernet Franc,95,90.0,7
Arancione,2022-02,Cavallotto 2011 Vignolo Riserva  (Barolo),2011,Nebbiolo,95,119.0,0
Arancione,2022-02,Luigi Oddero & Figli 2009  Barolo,2009,Nebbiolo,95,119.0,8
Arancione,2022-02,Castello dei Rampolla 2011 D'Alceo Red (Toscana),2011,Red Blend,95,260.0,19
Arancione,2022-02,Altesino 2012 Montosoli  (Brunello di Montalcino),2012,Sangiovese,97,125.0,5
