OnlineRetailer,SalesMonth,Title,Vintage,Variety,Score,ListPrice,Quantity
Arancione,2022-07,Lazzeretti 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,95,120.0,18
Arancione,2022-07,Tenuta San Guido 2004 Sassicaia  (Bolgheri Sassicaia),2004,Red Blend,97,190.0,21
Arancione,2022-07,Gaja 2013  Barbaresco,2013,Nebbiolo,96,200.0,17
Arancione,2022-07,San Giusto a Rentennano 2004 Percarlo Sangiovese (Toscana),2004,Sangiovese,95,70.0,13
Arancione,2022-07,Tenimenti Angelini 2007 Val di Suga  (Brunello di Montalcino),2007,Sangiovese Grosso,95,61.0,20
Arancione,2022-07,Castelgiocondo 2007  Brunello di Montalcino,2007,Sangiovese Grosso,95,75.0,18
Arancione,2022-07,Gaja 2007 Sorì Tildìn Nebbiolo (Langhe),2007,Nebbiolo,99,440.0,21
Arancione,2022-07,Arnaldo Caprai 2007 25 Anni  (Sagrantino di Montefalco),2007,Sagrantino,95,100.0,24
Arancione,2022-07,Le Gode 2012  Brunello di Montalcino,2012,Sangiovese,95,80.0,20
Arancione,2022-07,Il Paradiso di Manfredi 2006 Riserva  (Brunello di Montalcino),2006,Sangiovese,97,152.0,19
Arancione,2022-07,Punset 2004 Riserva  (Barbaresco),2004,Nebbiolo,95,119.0,19
Arancione,2022-07,Produttori del Barbaresco 2009 Ovello Riserva  (Barbaresco),2009,Nebbiolo,95,65.0,22
Arancione,2022-07,Giuseppe Cortese 2006 Rabajà Riserva  (Barbaresco),2006,Nebbiolo,95,110.0,19
Arancione,2022-07,Eugenio Bocchino 2006 La Serra  (Barolo),2006,Nebbiolo,95,100.0,16
Arancione,2022-07,Rivetto 2010 Briccolina Riserva  (Barolo),2010,Nebbiolo,96,210.0,24
Arancione,2022-07,Marchesi di Barolo 2006 Coste di Rose  (Barolo),2006,Nebbiolo,95,119.0,17
Arancione,2022-07,Elvio Cogno 2013 Ravera  (Barolo),2013,Nebbiolo,97,82.0,14
Arancione,2022-07,Massolino 2012 Parafada  (Barolo),2012,Nebbiolo,95,96.0,20
Arancione,2022-07,Marchesi Antinori 2012 Tignanello Red (Toscana),2012,Red Blend,95,105.0,22
Arancione,2022-07,Col d'Orcia 2004 Olmaia Cabernet Sauvignon (Sant'Antimo),2004,Cabernet Sauvignon,95,75.0,13
Arancione,2022-07,Sordo 2010 Monvigliero  (Barolo),2010,Nebbiolo,95,65.0,10
Arancione,2022-07,Colombera & Garella 2013 Pizzaguerra  (Lessona),2013,Nebbiolo,96,35.0,15
Arancione,2022-07,La Spinona 2012 Bergera  (Barolo),2012,Nebbiolo,95,38.0,18
Arancione,2022-07,Marchesi Antinori 2004 Solaia Red (Toscana),2004,Red Blend,96,170.0,20
Arancione,2022-07,Guastaferro 2006 Primum Riserva  (Taurasi),2006,Aglianico,97,90.0,23
Arancione,2022-07,Amantis 2007 Riserva  (Montecucco),2007,Sangiovese,95,75.0,22
Arancione,2022-07,Giovanni Rosso 2010 Cerretta  (Barolo),2010,Nebbiolo,95,96.0,22
Arancione,2022-07,Gaja 2006 Costa Russi Nebbiolo (Langhe),2006,Nebbiolo,95,420.0,23
Arancione,2022-07,Michele Chiarlo 2013 Cerequio  (Barolo),2013,Nebbiolo,95,115.0,24
Arancione,2022-07,COS 2014 Pithos Rosso Red (Vittoria),2014,Red Blend,95,30.0,23
Arancione,2022-07,Le Macchiole 2006 Paleo Cabernet Franc (Toscana),2006,Cabernet Franc,96,125.0,15
Arancione,2022-07,Comm. G. B. Burlotto 2013 Acclivi  (Barolo),2013,Nebbiolo,96,60.0,17
Arancione,2022-07,Tenuta di Biserno 2009 Biserno Red (Toscana),2009,Red Blend,95,180.0,17
Arancione,2022-07,Sordo 2010 Gabutti  (Barolo),2010,Nebbiolo,95,55.0,13
Arancione,2022-07,Tenuta Argentiera 2008 Argentiera  (Bolgheri Superiore),2008,Red Blend,96,75.0,17
Arancione,2022-07,Rizzi 2014 Nervo  (Barbaresco),2014,Nebbiolo,95,59.0,20
Arancione,2022-07,Gaja 2006 Sperss Nebbiolo (Langhe),2006,Nebbiolo,98,255.0,18
Arancione,2022-07,Paolo Scavino 2009 Cannubi  (Barolo),2009,Nebbiolo,96,118.0,24
Arancione,2022-07,Lis Neris 2007 Tal Lùc White (Friuli),2007,White Blend,95,88.0,16
Arancione,2022-07,Milziade Antano 2010  Montefalco Sagrantino,2010,Sagrantino,95,50.0,16
Arancione,2022-07,Armilla 2012  Brunello di Montalcino,2012,Sangiovese,95,63.0,10
Arancione,2022-07,Fratelli Alessandria 2013 Monvigliero  (Barolo),2013,Nebbiolo,95,78.0,23
Arancione,2022-07,Tenuta San Guido 2008 Sassicaia  (Bolgheri Sassicaia),2008,Red Blend,97,220.0,11
Arancione,2022-07,Mocali 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,95,85.0,22
Arancione,2022-07,Castello di Ama 2006 L'Apparita Merlot (Toscana),2006,Merlot,96,169.0,21
Arancione,2022-07,Giacomo Grimaldi 2005 Le Coste  (Barolo),2005,Nebbiolo,95,75.0,15
Arancione,2022-07,Mascarello Giuseppe e Figlio 2010 Villero  (Barolo),2010,Nebbiolo,97,100.0,15
Arancione,2022-07,Monteraponi 2011 Baron' Ugo Riserva  (Chianti Classico),2011,Red Blend,95,82.0,12
Arancione,2022-07,Masseto 2010 Merlot (Toscana),2010,Merlot,97,550.0,11
Arancione,2022-07,Ciacci Piccolomini d'Aragona 2010 Vigna di Pianrosso Santa Caterina d'Oro Riserva  (Brunello di Montalcino),2010,Sangiovese,97,140.0,17
Arancione,2022-07,Massolino 2013 Parafada  (Barolo),2013,Nebbiolo,97,97.0,22
Arancione,2022-07,Cantina Produttori San Michele Appiano 2015 Sanct Valentin Sauvignon (Alto Adige),2015,Sauvignon,95,40.0,23
Arancione,2022-07,Il Marroneto 2011 Madonna delle Grazie  (Brunello di Montalcino),2011,Sangiovese,95,150.0,21
Arancione,2022-07,Foradori 2012 Morei Teroldego (Vigneti delle Dolomiti),2012,Teroldego,95,50.0,11
Arancione,2022-07,Cavallotto 2013 Bricco Boschis  (Barolo),2013,Nebbiolo,96,90.0,15
Arancione,2022-07,Marchesi Antinori 2010 Tignanello Red (Toscana),2010,Red Blend,95,105.0,12
Arancione,2022-07,Giovanni Rosso 2011 Cerretta  (Barolo),2011,Nebbiolo,95,95.0,22
Arancione,2022-07,Castello di Ama 2010 San Lorenzo Gran Selezione  (Chianti Classico),2010,Red Blend,95,52.0,14
Arancione,2022-07,Poderi Aldo Conterno 2010 Bussia Cicala  (Barolo),2010,Nebbiolo,95,130.0,18
Arancione,2022-07,Mocali 2007 Riserva  (Brunello di Montalcino),2007,Sangiovese Grosso,96,73.0,14
Arancione,2022-07,Rizzi 2011 Pajorè  (Barbaresco),2011,Nebbiolo,95,59.0,10
Arancione,2022-07,Mirafiore 2007 Riserva  (Barolo),2007,Nebbiolo,95,135.0,15
Arancione,2022-07,Proprietà Sperino 2011  Lessona,2011,Nebbiolo,96,72.0,17
Arancione,2022-07,Mazzei 2007 Castello di Fonterutoli Siepi Red (Toscana),2007,Red Blend,95,120.0,18
Arancione,2022-07,Dal Forno Romano 2003 Vigneto di Monte Lodoletta  (Amarone della Valpolicella),2003,"Corvina, Rondinella, Molinara",96,470.0,17
Arancione,2022-07,Uccelliera 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,95,130.0,19
Arancione,2022-07,Abbadia Ardenga 2012 Vigna Piaggia  (Brunello di Montalcino),2012,Sangiovese,95,65.0,12
Arancione,2022-07,Vietti 2006 Rocche  (Barolo),2006,Nebbiolo,95,130.0,21
Arancione,2022-07,Felsina 2010 Fontalloro Sangiovese (Toscana),2010,Sangiovese,95,62.0,24
Arancione,2022-07,Castello di Verduno 2011 Massara  (Barolo),2011,Nebbiolo,95,85.0,21
Arancione,2022-07,Castello dei Rampolla 2012 d'Alceo Red (Toscana),2012,Red Blend,95,242.0,17
Arancione,2022-07,Il Palazzone 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,95,170.0,11
Arancione,2022-07,Passopisciaro 2012 Contrada R Nerello Mascalese (Terre Siciliane),2012,Nerello Mascalese,95,60.0,14
Arancione,2022-07,Tenuta San Guido 2012 Sassicaia  (Bolgheri Sassicaia),2012,Red Blend,99,235.0,16
Arancione,2022-07,Gigi Rosso 2009 Arione  (Barolo),2009,Nebbiolo,95,49.0,23
Arancione,2022-07,Marchesi Antinori 2012 Solaia Red (Toscana),2012,Red Blend,97,325.0,22
Arancione,2022-07,Padelletti 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,96,115.0,20
Arancione,2022-07,Dal Forno Romano 2006  Amarone della Valpolicella,2006,"Corvina, Rondinella, Molinara",95,530.0,13
Arancione,2022-07,Le Potazzine 2012  Brunello di Montalcino,2012,Sangiovese,96,85.0,23
Arancione,2022-07,Cavallotto 2009 Vignolo Riserva  (Barolo),2009,Nebbiolo,95,100.0,11
Arancione,2022-07,Capanna 2011  Brunello di Montalcino,2011,Sangiovese,95,50.0,15
Arancione,2022-07,Gianni Brunelli 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,97,100.0,22
Arancione,2022-07,Benanti 2009  Etna,2009,Nerello Mascalese,95,50.0,18
Arancione,2022-07,Damilano 2011 Cannubi  (Barolo),2011,Nebbiolo,95,90.0,22
Arancione,2022-07,Tenuta dell'Ornellaia 2007 Masseto Merlot (Toscana),2007,Merlot,100,460.0,18
Arancione,2022-07,Elvio Cogno 2013 Ravera  (Barolo),2013,Nebbiolo,97,82.0,13
Arancione,2022-07,Il Poggione 2007 Vigna Paganelli Riserva  (Brunello di Montalcino),2007,Sangiovese Grosso,95,115.0,14
Arancione,2022-07,Fattoria Le Pupille 2004 Saffredi  (Maremma),2004,Red Blend,95,140.0,16
Arancione,2022-07,Pio Cesare 2013  Barolo,2013,Nebbiolo,95,77.0,24
Arancione,2022-07,Mauro Veglio 2013 Rocche dell'Annunziata  (Barolo),2013,Nebbiolo,95,75.0,10
Arancione,2022-07,Giuseppe Rinaldi 2011 Brunate  (Barolo),2011,Nebbiolo,95,135.0,20
Arancione,2022-07,Rivetto 2008 Briccolina  (Barolo),2008,Nebbiolo,95,169.0,20
Arancione,2022-07,Bruno Giacosa 2011 Albesani Vigna Santo Stefano  (Barbaresco),2011,Nebbiolo,95,200.0,22
Arancione,2022-07,Terlan 2004 Rarità 2004 Pinot Bianco (Alto Adige),2004,Pinot Bianco,95,165.0,22
Arancione,2022-07,Brezza 2013 Cannubi  (Barolo),2013,Nebbiolo,98,60.0,16
Arancione,2022-07,Biondi 2014 Outis Rosso  (Etna),2014,Red Blend,95,40.0,13
Arancione,2022-07,Biondi Santi 2001 Riserva  (Brunello di Montalcino),2001,Sangiovese,96,400.0,14
Arancione,2022-07,Cantina Fratelli Pardi 2010 Sacrantino  (Montefalco Sagrantino),2010,Sagrantino,95,60.0,12
Arancione,2022-07,Marchesi de' Frescobaldi 2003 Castello di Pomino Vendemmia Tardiva White (Tuscany),2003,White Blend,95,119.0,23
Arancione,2022-07,Fattoria Petrolo 2004 Galatrona Merlot (Toscana),2004,Merlot,97,100.0,24
Arancione,2022-07,Poggio Antico 2007 Madre Red (Toscana),2007,Red Blend,95,119.0,12
Arancione,2022-07,Tenuta Sette Ponti 2007 Oreno Red (Toscana),2007,Red Blend,96,100.0,15
Arancione,2022-07,Renato Ratti 2013 Rocche dell'Annunziata  (Barolo),2013,Nebbiolo,95,100.0,20
Arancione,2022-07,Oddero 2010 Brunate  (Barolo),2010,Nebbiolo,95,123.0,18
Arancione,2022-07,Mauro Molino 2005 Vigna Conca  (Barolo),2005,Nebbiolo,95,119.0,10
Arancione,2022-07,Il Colle 2011  Brunello di Montalcino,2011,Sangiovese,96,45.0,19
Arancione,2022-07,Sandrone 2013 Aleste  (Barolo),2013,Nebbiolo,97,170.0,17
Arancione,2022-07,Germano Ettore 2013 Prapò  (Barolo),2013,Nebbiolo,97,75.0,21
Arancione,2022-07,Gaja 2009 Sorì San Lorenzo Nebbiolo (Langhe),2009,Nebbiolo,96,495.0,19
Arancione,2022-07,Le Macchiole 2007 Messorio Merlot (Toscana),2007,Merlot,99,320.0,21
Arancione,2022-07,Ciacci Piccolomini d'Aragona 2012  Brunello di Montalcino,2012,Sangiovese,95,70.0,11
Arancione,2022-07,Col d'Orcia 2006 Poggio al Vento Riserva  (Brunello di Montalcino),2006,Sangiovese,95,150.0,13
Arancione,2022-07,Verbena 2006 Riserva  (Brunello di Montalcino),2006,Sangiovese Grosso,95,75.0,19
Arancione,2022-07,Avignonesi 2004 Desiderio Red (Cortona),2004,Red Blend,95,50.0,17
Arancione,2022-07,Conti Costanti 2012  Brunello di Montalcino,2012,Sangiovese,98,95.0,11
Arancione,2022-07,Azelia 2006 San Rocco  (Barolo),2006,Nebbiolo,95,119.0,24
Arancione,2022-07,Poggio al Tesoro 2006 Dedicato a Walter Cabernet Franc (Toscana),2006,Cabernet Franc,95,90.0,15
Arancione,2022-07,Michele Chiarlo 2006 Cerequio Riserva  (Barolo),2006,Nebbiolo,95,103.0,16
