OnlineRetailer,SalesMonth,Title,Vintage,Variety,Score,ListPrice,Quantity
Arancione,2022-03,Le Potazzine 2011  Brunello di Montalcino,2011,Sangiovese,97,70.0,12
Arancione,2022-03,Le Macchiole 2012 Paleo Rosso Cabernet Franc (Toscana),2012,Cabernet Franc,95,110.0,2
Arancione,2022-03,Biondi Santi 2008  Brunello di Montalcino,2008,Sangiovese,95,200.0,8
Arancione,2022-03,San Giusto a Rentennano 2004 Percarlo Sangiovese (Toscana),2004,Sangiovese,95,70.0,18
Arancione,2022-03,Tenimenti Angelini 2007 Val di Suga  (Brunello di Montalcino),2007,Sangiovese Grosso,95,61.0,1
Arancione,2022-03,Guastaferro 2006 Primum Riserva  (Taurasi),2006,Aglianico,97,90.0,7
Arancione,2022-03,Poggio di Sotto 2011 Riserva  (Brunello di Montalcino),2011,Sangiovese,95,550.0,5
Arancione,2022-03,Le Macchiole 2008 Paleo Cabernet Franc (Toscana),2008,Cabernet Franc,95,130.0,0
Arancione,2022-03,Arnaldo Caprai 2010 25 Anni  (Montefalco Sagrantino),2010,Sagrantino,95,100.0,15
Arancione,2022-03,Baricci 2012  Brunello di Montalcino,2012,Sangiovese,96,50.0,1
Arancione,2022-03,Isole e Olena 2010  Chianti Classico,2010,Red Blend,96,27.0,7
Arancione,2022-03,Poggio di Sotto 2010  Brunello di Montalcino,2010,Sangiovese,97,290.0,14
Arancione,2022-03,Poderi Aldo Conterno 2010 Bussia Cicala  (Barolo),2010,Nebbiolo,95,130.0,10
Arancione,2022-03,Mocali 2007 Riserva  (Brunello di Montalcino),2007,Sangiovese Grosso,96,73.0,19
Arancione,2022-03,Uccelliera 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,95,130.0,12
Arancione,2022-03,Tenuta San Guido 2008 Sassicaia  (Bolgheri Sassicaia),2008,Red Blend,97,220.0,18
Arancione,2022-03,Tenuta dell'Ornellaia 2006 Ornellaia  (Bolgheri Superiore),2006,Red Blend,97,200.0,13
Arancione,2022-03,Tenuta dell'Ornellaia 2004 Masseto Merlot (Toscana),2004,Merlot,99,250.0,10
Arancione,2022-03,Giacomo Fenocchio 2008 Bussia 90 Dì  (Barolo),2008,Nebbiolo,97,80.0,9
Arancione,2022-03,Col d'Orcia 2004 Olmaia Cabernet Sauvignon (Sant'Antimo),2004,Cabernet Sauvignon,95,75.0,9
Arancione,2022-03,Ciacci Piccolomini d'Aragona 2012 Vigna di Pianrosso  (Brunello di Montalcino),2012,Sangiovese,95,90.0,12
Arancione,2022-03,Guido Porro 2011 Vigna S. Caterina  (Barolo),2011,Nebbiolo,95,47.0,6
