TransactionId,TransactionDate,OnlineRetailer,SalesMonth,SalesRegion,SalesCurrency,Title,Vintage,Variety,Score,ListPrice,Quantity
3f31bcb4-7361-4840-a2d6-56ff6362471d,2022-01-01,Celeste,2022-01,EU,EUR,Perlage 2011 Animae Brut Millesimato  (Conegliano Valdobbiadene Prosecco Superiore),2011,Glera,86,25.0,9
703fe7c3-d38c-417b-8909-2c309a9eae62,2022-01-01,Celeste,2022-01,EU,EUR,Gigante 2014 Ribolla Gialla (Friuli Colli Orientali),2014,Ribolla Gialla,86,18.0,19
c18f00c7-e0e0-42e9-b707-57b3719a4d6f,2022-01-01,Celeste,2022-01,EU,EUR,Portinari 2015 U. P.  (Soave),2015,Garganega,88,10.0,13
633afa94-d2da-4a56-b2be-dc664c0b6f78,2022-01-01,Celeste,2022-01,EU,EUR,Donna Olimpia 1898 2011 Obizzo Vermentino (Toscana),1898,Vermentino,87,18.0,12
3f0d452e-d8d9-42f9-89ac-1c5a940a9f07,2022-01-01,Celeste,2022-01,EU,EUR,Trappolini 2010 Cenereto Red (Lazio),2010,Red Blend,85,14.0,6
81020cfb-ff92-4f08-9e83-6b8e45c05e9e,2022-01-01,Celeste,2022-01,EU,EUR,Canonica a Cerreto 2010 Riserva  (Chianti Classico),2010,Red Blend,87,39.0,15
000bcbc7-c5fa-45e4-bb79-00335302053d,2022-01-01,Celeste,2022-01,EU,EUR,Le Bertille 2010  Vino Nobile di Montepulciano,2010,Red Blend,88,25.0,17
63a11312-e0f6-4dce-a445-a44e3eb7e6a7,2022-01-01,Celeste,2022-01,EU,EUR,Torraccia del Piantavigna 2004  Ghemme,2004,Nebbiolo,89,32.0,13
e03ff9e0-eb91-433e-80e2-b5e462222eb0,2022-01-01,Celeste,2022-01,EU,EUR,La Togata 2008 Azzurreta Sangiovese (Toscana),2008,Sangiovese,87,10.0,5
8a8e56ba-a65d-4b48-8feb-531121530971,2022-01-01,Celeste,2022-01,EU,EUR,Tiziano Mazzoni 2015 Il Ricetto Vespolina (Colline Novaresi),2015,Vespolina,88,25.0,2
ad97b34a-b2fc-4300-9490-400ad1891e8a,2022-01-01,Celeste,2022-01,EU,EUR,Collina San Ponzio 2014  Barbera d'Alba,2014,Barbera,86,17.0,10
