TransactionId,TransactionDate,OnlineRetailer,SalesMonth,SalesRegion,SalesCurrency,Title,Vintage,Variety,Score,ListPrice,Quantity
9f96154a-4cf8-4ad7-9b01-1eacec3ed47e,2022-02-01,Celeste,2022-02,EU,EUR,Castelluccio 2007 Ronco dei Ciliegi Sangiovese (Forlì),2007,Sangiovese,87,10.0,16
98e1a979-5d6c-497a-8da0-954e9a8d139f,2022-02-01,Celeste,2022-02,EU,EUR,Campomaggio 2005  Chianti Classico,2005,Sangiovese,87,10.0,10
1023a974-9876-44f9-851d-379f9b705973,2022-02-01,Celeste,2022-02,EU,EUR,Collavini 2015 Pinot Grigio (Collio),2015,Pinot Grigio,86,16.0,3
01b294de-a719-4729-b64b-a819f5e86c97,2022-02-01,Celeste,2022-02,EU,EUR,San Lorenzo 2008 Escol Riserva  (Montepulciano d'Abruzzo Colline Teramane),2008,Montepulciano,88,38.0,7
92b7e36c-b7c3-4699-a796-37613aafca86,2022-02-01,Celeste,2022-02,EU,EUR,Tasca d'Almerita 2009 Sallier de la Tour Syrah (Sicilia),2009,Syrah,86,11.0,2
dc6f70f5-933c-478c-b57f-96d0e6a8a6f4,2022-02-01,Celeste,2022-02,EU,EUR,Diadema 2012 D'Amare White (Toscana),2012,White Blend,86,45.0,19
7405247e-ae42-4832-88fd-d4cc78d73688,2022-02-01,Celeste,2022-02,EU,EUR,Andriano 2009 Santa Maddalena Red (Alto Adige),2009,Red Blend,87,17.0,19
fb9f2af1-8470-4f4b-bc20-b3f3c0040a94,2022-02-01,Celeste,2022-02,EU,EUR,Tenuta Peter Sölva & Söhne 2007 De Silva Sauvignon (Alto Adige),2007,Sauvignon,88,25.0,13
30ccb0e3-1e8a-444d-bda1-e052ee2984e5,2022-02-01,Celeste,2022-02,EU,EUR,La Ciarliana 2012  Rosso di Montepulciano,2012,Red Blend,87,16.0,12
1d2aae9d-cf92-42f7-84a8-80b70f07c8fb,2022-02-01,Celeste,2022-02,EU,EUR,Tasca d'Almerita 2006 Lamùri Nero d'Avola (Sicilia),2006,Nero d'Avola,87,28.0,19
07d4a395-fe92-4311-9deb-4d2f487ff9df,2022-02-02,Celeste,2022-02,EU,EUR,Le Marchesine 2012 Brut Rosé Metodo Classico Sparkling (Franciacorta),2012,Sparkling Blend,89,27.0,5
b8fbeb7a-b804-46ed-a3c7-5cdcb9f6220b,2022-02-02,Celeste,2022-02,EU,EUR,Tenuta di Angoris 2014 Giulio Locatelli Riserva White (Collio),2014,White Blend,87,14.0,11
bbb8d44f-90ad-48f5-894e-cc43203a4d5e,2022-02-02,Celeste,2022-02,EU,EUR,La Spinetta 2012 Vigneto Bordini  (Barbaresco),2012,Nebbiolo,87,50.0,5
117b77d2-33cf-45b3-be51-d683b99cd60e,2022-02-02,Celeste,2022-02,EU,EUR,Fontanafredda 2007 Briccotondo Barbera (Piedmont),2007,Barbera,89,13.0,7
adb09593-36d1-43fe-a801-aac938642efc,2022-02-02,Celeste,2022-02,EU,EUR,Anna Spinato NV Mini  (Prosecco),,Glera,86,5.0,0
97941257-0919-4e3d-b6d9-8b7317e4d3f4,2022-02-02,Celeste,2022-02,EU,EUR,Feudo Arancio 2010 Stemmari Merlot (Sicilia),2010,Merlot,87,10.0,2
7203c5d6-41ef-4b20-bd1e-6c70b3a892b3,2022-02-02,Celeste,2022-02,EU,EUR,La Sala 2006  Chianti Classico,2006,Sangiovese,88,10.0,5
b41a1db2-7964-4ad8-bd7c-57f484948d10,2022-02-02,Celeste,2022-02,EU,EUR,Contrada Salandra 2014 Falanghina (Campi Flegrei),2014,Falanghina,88,10.0,19
44fe6a9e-166a-468e-8599-b71a2028e5e7,2022-02-02,Celeste,2022-02,EU,EUR,Verrone 2003 Aglianico (Cilento),2003,Aglianico,88,10.0,18
cb2dc877-9351-41ba-bf18-28e0aca7a14f,2022-02-02,Celeste,2022-02,EU,EUR,CarlindePaolo 2013  Barolo,2013,Nebbiolo,87,40.0,1
0f8097ad-08d6-40fc-8e37-ee9cd80472da,2022-02-02,Celeste,2022-02,EU,EUR,La Calonica 2010 Arnth Syrah (Cortona),2010,Syrah,87,36.0,7
35f36bad-a0b7-4890-bb08-bc4ac106bde3,2022-02-02,Celeste,2022-02,EU,EUR,Marco Negri 2011 Marsillo  (Moscato d'Asti),2011,Moscato,87,17.0,3
c9fa4a18-e275-4325-87e9-fbbca6062a49,2022-02-02,Celeste,2022-02,EU,EUR,Molino di Sant'Antimo 2009  Brunello di Montalcino,2009,Sangiovese,87,40.0,6
f87f3720-096a-4069-8f4f-bee5efd615dc,2022-02-02,Celeste,2022-02,EU,EUR,Maculan 2012 Ferrata Sauvignon (Veneto),2012,Sauvignon,86,15.0,4
78dd0f91-a6d2-4a2a-a095-68a51c38aa55,2022-02-02,Celeste,2022-02,EU,EUR,Deltetto 2015 San Michele  (Roero),2015,Arneis,88,20.0,18
33777eb2-3e1c-4ab7-b13e-489394f7df58,2022-02-02,Celeste,2022-02,EU,EUR,Masi 2005 Serego Alighieri Possessioni Red (Rosso del Veronese),2005,Red Blend,86,19.0,2
1c63497c-0954-4dea-a4a7-1c6b5b27e7bb,2022-02-02,Celeste,2022-02,EU,EUR,Montelvini 2002 El Zuiter Red (Delle Venezie),2002,Red Blend,87,22.0,12
759f36b6-bd43-4023-b637-4510e3cc551a,2022-02-02,Celeste,2022-02,EU,EUR,Mastroberardino 2012 Aglianico (Campania),2012,Aglianico,88,25.0,7
dd222998-d672-4848-b6b2-6508f050d2ee,2022-02-02,Celeste,2022-02,UK,GBP,La Spinetta 2012 Vigneto Bordini  (Barbaresco),2012,Nebbiolo,87,50.0,3
9cbb8081-c12e-4a3c-84f9-18e601881278,2022-02-02,Celeste,2022-02,UK,GBP,La Sala 2006  Chianti Classico,2006,Sangiovese,88,10.0,3
be2baae7-82bf-402a-abeb-7f25504c9376,2022-02-02,Celeste,2022-02,UK,GBP,CarlindePaolo 2013  Barolo,2013,Nebbiolo,87,40.0,1
191e4483-097a-4388-8f27-e0fed738bfd4,2022-02-02,Celeste,2022-02,UK,GBP,Molino di Sant'Antimo 2009  Brunello di Montalcino,2009,Sangiovese,87,40.0,3
07b2cde1-7be6-476a-a671-d32a09d99585,2022-02-03,Celeste,2022-02,EU,EUR,Nicodemi 2014 Le Murate  (Montepulciano d'Abruzzo),2014,Montepulciano,86,10.0,11
888d831a-cfeb-4ade-bc94-349fa955dca5,2022-02-03,Celeste,2022-02,EU,EUR,Contini 2013 Tonaghe  (Cannonau di Sardegna),2013,Red Blend,89,13.0,3
fadbbd26-0c27-4155-8807-b622a0a3a11e,2022-02-03,Celeste,2022-02,EU,EUR,Virna Borgogno 2012 Cannubi Boschis  (Barolo),2012,Nebbiolo,85,70.0,1
168fabaf-dd63-4816-a093-6d4f9d983401,2022-02-03,Celeste,2022-02,EU,EUR,Cantina del Nebbiolo 2009  Roero,2009,Nebbiolo,87,10.0,17
fe7b099d-3d9a-413a-a07e-2b61abb24707,2022-02-03,Celeste,2022-02,EU,EUR,Feudi di San Marzano 2011 Sud Negroamaro (Salento),2011,Negroamaro,88,15.0,0
d1b35de5-c663-4e2c-9c8e-304465a9d268,2022-02-03,Celeste,2022-02,EU,EUR,Manincor 2014 Eichorn Pinot Bianco (Alto Adige Terlano),2014,Pinot Bianco,87,30.0,17
454d3a16-d919-4b33-9357-42e7834a1539,2022-02-03,Celeste,2022-02,EU,EUR,Kellerei Kaltern Caldaro 2012 Vial Pinot Bianco (Alto Adige),2012,Pinot Bianco,89,25.0,15
cfefc4ba-9160-4e5e-ac81-5ccd431d824f,2022-02-03,Celeste,2022-02,EU,EUR,Barbàcan 2013 Sol  (Valtellina Superiore),2013,Nebbiolo,89,45.0,4
cb1f1f01-f8b6-48b5-9892-03e10e8d5e54,2022-02-03,Celeste,2022-02,EU,EUR,Garofoli 2006 Dorato White (Marche),2006,White Blend,88,10.0,11
ae6ff74d-a4eb-4d28-a8b8-1f8843ecde3c,2022-02-03,Celeste,2022-02,EU,EUR,Colosi 2011 White (Sicilia),2011,White Blend,86,13.0,18
6c7f7d7a-9ad1-4599-b352-388428e3c3fa,2022-02-03,Celeste,2022-02,EU,EUR,Tormaresca 2008 Trentangeli Red (Castel del Monte),2008,Red Blend,87,10.0,18
58798770-fa56-4fc3-89d7-dd5847011ff0,2022-02-03,Celeste,2022-02,EU,EUR,Tenute Orestiadi 2016 Molino a Vento Grillo (Terre Siciliane),2016,Grillo,85,10.0,7
d723aa4c-dcd9-4ada-a190-704748060861,2022-02-03,Celeste,2022-02,EU,EUR,Terre Nere Campigli Vallone 2014  Rosso di Montalcino,2014,Sangiovese,87,18.0,16
d5b81fb9-81df-4a71-b060-fc8e6c87444f,2022-02-03,Celeste,2022-02,EU,EUR,Ronco dei Tassi 2014 Pinot Grigio (Collio),2014,Pinot Grigio,87,20.0,4
9871543f-6549-4ae5-9ac1-91d352ebcaf9,2022-02-03,Celeste,2022-02,EU,EUR,Mormoraia 2014  Vernaccia di San Gimignano,2014,Vernaccia,88,15.0,1
929663f4-fb54-46bf-ac53-4a6cb6d881a6,2022-02-03,Celeste,2022-02,EU,EUR,Morisfarms 2008 Scalabreto 500ml Red (Toscana),2008,Red Blend,86,32.0,8
dbc1fea2-335f-4361-bdba-b8a42315b8c6,2022-02-03,Celeste,2022-02,UK,GBP,Virna Borgogno 2012 Cannubi Boschis  (Barolo),2012,Nebbiolo,85,70.0,1
